turn is 270, now time is 16393.535331964493, scover line is 73691
turn is 271, now time is 16534.748426914215, scover line is 73836
turn is 272, now time is 16558.129966020584, scover line is 73836
turn is 273, now time is 16589.54214310646, scover line is 73836
turn is 274, now time is 16611.960539102554, scover line is 73836
turn is 275, now time is 16639.191122055054, scover line is 73836
turn is 276, now time is 16671.26606297493, scover line is 73836
turn is 277, now time is 16695.065104961395, scover line is 73851
turn is 278, now time is 16719.131134986877, scover line is 73851
turn is 279, now time is 16870.284050941467, scover line is 73851
turn is 280, now time is 16894.168180942535, scover line is 73854
turn is 281, now time is 16986.491431951523, scover line is 73893
turn is 282, now time is 17010.050606012344, scover line is 74080
turn is 283, now time is 17034.052100896835, scover line is 74080
turn is 284, now time is 17126.366014957428, scover line is 74080
turn is 285, now time is 17238.02586388588, scover line is 74080
turn is 286, now time is 17271.662276029587, scover line is 74248
turn is 287, now time is 17353.96327805519, scover line is 74248
turn is 288, now time is 17465.753712892532, scover line is 74248
turn is 289, now time is 17627.322386980057, scover line is 74248
turn is 290, now time is 17659.222151994705, scover line is 74248
turn is 291, now time is 17686.31956601143, scover line is 74248
turn is 292, now time is 17837.708415031433, scover line is 74248
turn is 293, now time is 17861.37797307968, scover line is 74248
turn is 294, now time is 17885.015304088593, scover line is 74249
turn is 295, now time is 17996.93876695633, scover line is 74249
turn is 296, now time is 18019.296349048615, scover line is 74249
turn is 297, now time is 18046.501086950302, scover line is 74253
turn is 298, now time is 18148.430552959442, scover line is 74253
turn is 299, now time is 18171.387149095535, scover line is 74253
turn is 300, now time is 18193.84311890602, scover line is 74253
turn is 301, now time is 18217.518076896667, scover line is 74253
turn is 302, now time is 18241.32521700859, scover line is 74253
turn is 303, now time is 18292.48612689972, scover line is 74253
turn is 304, now time is 18319.6961479187, scover line is 74253
turn is 305, now time is 18342.893229961395, scover line is 74253
turn is 306, now time is 18524.34111905098, scover line is 74253
turn is 307, now time is 18548.344638109207, scover line is 74253
turn is 308, now time is 18650.420306921005, scover line is 74253
turn is 309, now time is 18682.80783700943, scover line is 74454
turn is 310, now time is 18804.64615392685, scover line is 74454
turn is 311, now time is 18906.709322929382, scover line is 74454
turn is 312, now time is 19048.18945503235, scover line is 74454
turn is 313, now time is 19209.644301891327, scover line is 74454
turn is 314, now time is 19468.44373703003, scover line is 74454
turn is 315, now time is 19492.311101913452, scover line is 74454
turn is 316, now time is 19516.142108917236, scover line is 74525
turn is 317, now time is 19540.0650100708, scover line is 74525
turn is 318, now time is 19563.968323946, scover line is 74525
turn is 319, now time is 19587.214099884033, scover line is 74525
turn is 320, now time is 19748.59175300598, scover line is 74525
turn is 321, now time is 19772.34243106842, scover line is 74525
turn is 322, now time is 19796.177223920822, scover line is 74525
turn is 323, now time is 19823.644326925278, scover line is 74525
turn is 324, now time is 19847.23978304863, scover line is 74525
turn is 325, now time is 19959.306735038757, scover line is 74525
turn is 326, now time is 19983.197695970535, scover line is 74525
turn is 327, now time is 20014.99028110504, scover line is 74525
turn is 328, now time is 20039.105140924454, scover line is 74525
turn is 329, now time is 20141.2281498909, scover line is 74525
turn is 330, now time is 20165.10304093361, scover line is 75421
turn is 331, now time is 20326.318691015244, scover line is 75421
turn is 332, now time is 20358.225624084473, scover line is 75421
turn is 333, now time is 20519.773302078247, scover line is 75421
turn is 334, now time is 20543.45095705986, scover line is 75421
turn is 335, now time is 20566.86438894272, scover line is 75421
turn is 336, now time is 20588.576118946075, scover line is 75421
turn is 337, now time is 20690.693244934082, scover line is 75421
turn is 338, now time is 20841.789856910706, scover line is 75421
turn is 339, now time is 20865.512634038925, scover line is 75421
turn is 340, now time is 21037.116465091705, scover line is 75491
turn is 341, now time is 21060.862993955612, scover line is 75491
turn is 342, now time is 21212.19242811203, scover line is 75491
turn is 343, now time is 21373.727334022522, scover line is 75491
turn is 344, now time is 21515.003123998642, scover line is 75494
turn is 345, now time is 21538.804132938385, scover line is 75494
turn is 346, now time is 21566.11072587967, scover line is 75494
turn is 347, now time is 21658.43708896637, scover line is 75494
turn is 348, now time is 21690.963262081146, scover line is 75494
turn is 349, now time is 21714.883218050003, scover line is 75494
turn is 350, now time is 21817.086148023605, scover line is 75496
turn is 351, now time is 21840.971518039703, scover line is 75496
turn is 352, now time is 21865.043394088745, scover line is 75496
turn is 353, now time is 22026.48562693596, scover line is 75496
turn is 354, now time is 22050.497019052505, scover line is 75496
turn is 355, now time is 22212.022172927856, scover line is 75497
turn is 356, now time is 22233.993772029877, scover line is 75497
turn is 357, now time is 22256.94303894043, scover line is 75497
turn is 358, now time is 22280.840286016464, scover line is 75497
turn is 359, now time is 22452.65425300598, scover line is 75497
turn is 360, now time is 22476.445580005646, scover line is 75497
turn is 361, now time is 22500.18843102455, scover line is 75497
turn is 362, now time is 22523.955144882202, scover line is 75497
turn is 363, now time is 22695.719815015793, scover line is 75497
turn is 364, now time is 22719.742489099503, scover line is 75498
turn is 365, now time is 22891.634336948395, scover line is 75498
turn is 366, now time is 22993.855406999588, scover line is 75498
turn is 367, now time is 23066.716725111008, scover line is 75498
turn is 368, now time is 23089.86866402626, scover line is 75498
turn is 369, now time is 23113.87506198883, scover line is 75498
turn is 370, now time is 23137.09673190117, scover line is 75498
turn is 371, now time is 23160.937962055206, scover line is 75498
turn is 372, now time is 23184.31930589676, scover line is 75498
turn is 373, now time is 23206.75199699402, scover line is 75498
turn is 374, now time is 23230.49437189102, scover line is 75498
turn is 375, now time is 23254.487389087677, scover line is 75498
turn is 376, now time is 23278.32519888878, scover line is 75498
turn is 377, now time is 23310.020544052124, scover line is 75498
turn is 378, now time is 23333.164206027985, scover line is 75498
turn is 379, now time is 23357.041754961014, scover line is 75498
turn is 380, now time is 23390.729578971863, scover line is 75498
turn is 381, now time is 23418.039916038513, scover line is 75498
turn is 382, now time is 23442.04600596428, scover line is 75498
turn is 383, now time is 23611.750036001205, scover line is 75498
turn is 384, now time is 23723.61762690544, scover line is 75498
turn is 385, now time is 23751.05193591118, scover line is 75498
turn is 386, now time is 23843.250930070877, scover line is 75498
turn is 387, now time is 23870.696106910706, scover line is 75498
turn is 388, now time is 23898.016558885574, scover line is 75498
turn is 389, now time is 23921.573556900024, scover line is 75498
turn is 390, now time is 23944.134527921677, scover line is 75498
turn is 391, now time is 23967.94978404045, scover line is 75498
turn is 392, now time is 23990.84830403328, scover line is 75498
turn is 393, now time is 24023.70380091667, scover line is 75498
turn is 394, now time is 24045.30958890915, scover line is 75498
turn is 395, now time is 24167.68177509308, scover line is 75498
turn is 396, now time is 24199.116388082504, scover line is 75498
turn is 397, now time is 24360.72518992424, scover line is 75498
turn is 398, now time is 24512.76716899872, scover line is 75498
turn is 399, now time is 24624.953721046448, scover line is 75498
turn is 400, now time is 24747.012054920197, scover line is 75498
turn is 401, now time is 24908.57879590988, scover line is 75498
turn is 402, now time is 25020.57493209839, scover line is 75498
turn is 403, now time is 25047.938930034637, scover line is 75520
turn is 404, now time is 25071.64657998085, scover line is 75520
turn is 405, now time is 25098.84522008896, scover line is 75520
turn is 406, now time is 25120.840658903122, scover line is 75520
turn is 407, now time is 25143.999758005142, scover line is 75520
turn is 408, now time is 25295.549587011337, scover line is 75520
turn is 409, now time is 25319.33188009262, scover line is 77670
turn is 410, now time is 25343.461515903473, scover line is 77670
turn is 411, now time is 25533.66553401947, scover line is 77685
turn is 412, now time is 25557.477180957794, scover line is 77685
turn is 413, now time is 25659.761936903, scover line is 77685
turn is 414, now time is 25682.792160987854, scover line is 77685
turn is 415, now time is 25775.45219397545, scover line is 77685
turn is 416, now time is 25887.370084047318, scover line is 77685
turn is 417, now time is 25914.60255599022, scover line is 77685
turn is 418, now time is 26007.022032022476, scover line is 77685
turn is 419, now time is 26029.861802101135, scover line is 77685
turn is 420, now time is 26053.03292798996, scover line is 77685
turn is 421, now time is 26165.280194044113, scover line is 77685
turn is 422, now time is 26189.099128961563, scover line is 77685
turn is 423, now time is 26210.53653407097, scover line is 77685
turn is 424, now time is 26322.821330070496, scover line is 77685
turn is 425, now time is 26474.22619509697, scover line is 77685
turn is 426, now time is 26497.453397989273, scover line is 77685
turn is 427, now time is 26519.509735107422, scover line is 77685
turn is 428, now time is 26621.790155887604, scover line is 77685
turn is 429, now time is 26645.81573009491, scover line is 77685
turn is 430, now time is 26807.163094997406, scover line is 77685
turn is 431, now time is 26830.985791921616, scover line is 77691
turn is 432, now time is 26923.52138400078, scover line is 77691
turn is 433, now time is 27095.037950992584, scover line is 77884
turn is 434, now time is 27118.85546898842, scover line is 77884
turn is 435, now time is 27142.913928985596, scover line is 77884
turn is 436, now time is 27266.187923908234, scover line is 77884
turn is 437, now time is 27438.035999059677, scover line is 77887
turn is 438, now time is 27461.96408390999, scover line is 77887
turn is 439, now time is 27485.86981511116, scover line is 77887
turn is 440, now time is 27517.521259069443, scover line is 77887
turn is 441, now time is 27668.938581943512, scover line is 77887
turn is 442, now time is 27691.203983068466, scover line is 77888
turn is 443, now time is 27715.28689599037, scover line is 77888
turn is 444, now time is 27807.892122983932, scover line is 77888
turn is 445, now time is 27831.38509106636, scover line is 77888
turn is 446, now time is 27858.812345027924, scover line is 77888
turn is 447, now time is 27881.233941078186, scover line is 77888
turn is 448, now time is 27905.194093942642, scover line is 77888
turn is 449, now time is 27928.10541701317, scover line is 77888
turn is 450, now time is 27950.26822900772, scover line is 77888
turn is 451, now time is 27983.649152994156, scover line is 77888
turn is 452, now time is 28007.645745038986, scover line is 77888
turn is 453, now time is 28031.402578115463, scover line is 77888
turn is 454, now time is 28143.53653907776, scover line is 77888
turn is 455, now time is 28166.033854961395, scover line is 77888
turn is 456, now time is 28187.863473892212, scover line is 77888
turn is 457, now time is 28260.03791308403, scover line is 77888
turn is 458, now time is 28421.58282494545, scover line is 77888
turn is 459, now time is 28445.408309936523, scover line is 77888
turn is 460, now time is 28469.35191488266, scover line is 77889
turn is 461, now time is 28493.263326883316, scover line is 77889
turn is 462, now time is 28517.205950975418, scover line is 77894
turn is 463, now time is 28541.127477884293, scover line is 77894
turn is 464, now time is 28565.034311056137, scover line is 77894
turn is 465, now time is 28836.50745987892, scover line is 77894
turn is 466, now time is 28860.14043903351, scover line is 77894
turn is 467, now time is 29031.923685073853, scover line is 77894
turn is 468, now time is 29054.19203710556, scover line is 77894
turn is 469, now time is 29077.36999106407, scover line is 79261
turn is 470, now time is 29101.402148008347, scover line is 79261
turn is 471, now time is 29125.606319904327, scover line is 79261
turn is 472, now time is 29297.14968109131, scover line is 79261
turn is 473, now time is 29321.1179831028, scover line is 79261
turn is 474, now time is 29382.668437957764, scover line is 79261
turn is 475, now time is 29484.93906402588, scover line is 79261
turn is 476, now time is 29509.098503112793, scover line is 79276
turn is 477, now time is 29532.807219028473, scover line is 79276
turn is 478, now time is 29560.20220708847, scover line is 79276
turn is 479, now time is 29623.350682020187, scover line is 79276
turn is 480, now time is 29651.044965028763, scover line is 79276
turn is 481, now time is 29822.688309907913, scover line is 79276
turn is 482, now time is 29846.120994091034, scover line is 79276
turn is 483, now time is 29987.436994075775, scover line is 79284
turn is 484, now time is 30070.023576021194, scover line is 79284
turn is 485, now time is 30152.69921898842, scover line is 79284
turn is 486, now time is 30274.596956968307, scover line is 79284
turn is 487, now time is 30298.561960935593, scover line is 79284
turn is 488, now time is 30321.846342086792, scover line is 79284
turn is 489, now time is 30354.04975295067, scover line is 79284
turn is 490, now time is 30386.862377882004, scover line is 79284
turn is 491, now time is 30410.924845933914, scover line is 79284
turn is 492, now time is 30513.36455798149, scover line is 79284
turn is 493, now time is 30540.807308912277, scover line is 79284
turn is 494, now time is 30564.800597906113, scover line is 79284
turn is 495, now time is 30588.965846061707, scover line is 79284
turn is 496, now time is 30611.5130109787, scover line is 79284
turn is 497, now time is 30713.60620188713, scover line is 79284
turn is 498, now time is 30736.86999988556, scover line is 79284
turn is 499, now time is 30760.68630194664, scover line is 79284
turn is 500, now time is 30922.426976919174, scover line is 79284
turn is 501, now time is 31024.878034114838, scover line is 79284
turn is 502, now time is 31048.6286110878, scover line is 79296
turn is 503, now time is 31141.383116960526, scover line is 79296
turn is 504, now time is 31358.206279039383, scover line is 79296
turn is 505, now time is 31381.097232103348, scover line is 79296
turn is 506, now time is 31408.312292099, scover line is 79296
turn is 507, now time is 31500.297753095627, scover line is 79296
turn is 508, now time is 31527.873971939087, scover line is 79296
turn is 509, now time is 31551.634052991867, scover line is 79303
turn is 510, now time is 31663.896368980408, scover line is 79303
turn is 511, now time is 31685.97928905487, scover line is 79303
turn is 512, now time is 31827.506203889847, scover line is 79303
turn is 513, now time is 31959.024224996567, scover line is 79306
turn is 514, now time is 31983.07944393158, scover line is 79306
turn is 515, now time is 32138.774122953415, scover line is 79306
turn is 516, now time is 32162.930375099182, scover line is 79306
turn is 517, now time is 32186.756939888, scover line is 79306
turn is 518, now time is 32210.54540991783, scover line is 79306
turn is 519, now time is 32232.228760004044, scover line is 79377
turn is 520, now time is 32256.494204044342, scover line is 79377
turn is 521, now time is 32438.077004909515, scover line is 79377
turn is 522, now time is 32530.234075069427, scover line is 79377
turn is 523, now time is 32552.915635108948, scover line is 79377
turn is 524, now time is 32576.964596033096, scover line is 79377
turn is 525, now time is 32601.151546001434, scover line is 79377
turn is 526, now time is 32742.58433008194, scover line is 79383
turn is 527, now time is 32894.183518886566, scover line is 79383
turn is 528, now time is 32917.434586048126, scover line is 79383
turn is 529, now time is 32945.10165691376, scover line is 79383
turn is 530, now time is 32968.670473098755, scover line is 79383
turn is 531, now time is 32992.68349099159, scover line is 79383
turn is 532, now time is 33016.61166501045, scover line is 79383
turn is 533, now time is 33040.65899395943, scover line is 79383
turn is 534, now time is 33064.6465408802, scover line is 79383
turn is 535, now time is 33096.6700899601, scover line is 79383
turn is 536, now time is 33208.9059650898, scover line is 79383
