turn is 284, now time is 14278.64045381546, scover line is 81272
turn is 285, now time is 14314.268999814987, scover line is 81272
turn is 286, now time is 14343.052525997162, scover line is 81272
turn is 287, now time is 14368.717113018036, scover line is 81311
turn is 288, now time is 14416.436915874481, scover line is 81311
turn is 289, now time is 14444.281809806824, scover line is 81322
turn is 290, now time is 14471.487757921219, scover line is 81332
turn is 291, now time is 14498.432026863098, scover line is 81332
turn is 292, now time is 14534.917496919632, scover line is 81332
turn is 293, now time is 14570.67035484314, scover line is 81395
turn is 294, now time is 14735.692914962769, scover line is 81395
turn is 295, now time is 14792.933923959732, scover line is 81396
turn is 296, now time is 14821.18187880516, scover line is 81396
turn is 297, now time is 14946.36448597908, scover line is 81398
turn is 298, now time is 14975.288785934448, scover line is 81444
turn is 299, now time is 15002.208311796188, scover line is 81446
turn is 300, now time is 15068.360556840897, scover line is 81446
turn is 301, now time is 15095.154888868332, scover line is 81463
turn is 302, now time is 15122.524475812912, scover line is 81468
turn is 303, now time is 15149.164354801178, scover line is 81468
turn is 304, now time is 15303.102192878723, scover line is 81480
turn is 305, now time is 15467.397742986679, scover line is 81480
turn is 306, now time is 15495.596784830093, scover line is 81480
turn is 307, now time is 15522.48654294014, scover line is 81480
turn is 308, now time is 15550.327664852142, scover line is 81525
turn is 309, now time is 15576.992038965225, scover line is 81525
turn is 310, now time is 15603.174165964127, scover line is 81525
turn is 311, now time is 15639.439229011536, scover line is 81525
turn is 312, now time is 15783.594369888306, scover line is 81525
turn is 313, now time is 15810.939358949661, scover line is 81525
turn is 314, now time is 15840.256104946136, scover line is 81525
turn is 315, now time is 15867.318310976028, scover line is 81525
turn is 316, now time is 15903.144666910172, scover line is 81525
turn is 317, now time is 15932.25841999054, scover line is 81525
turn is 318, now time is 16076.318673849106, scover line is 81525
turn is 319, now time is 16111.160995960236, scover line is 81525
turn is 320, now time is 16166.968614816666, scover line is 81525
turn is 321, now time is 16334.33633685112, scover line is 81525
turn is 322, now time is 16360.917702913284, scover line is 81525
turn is 323, now time is 16387.69054698944, scover line is 81525
turn is 324, now time is 16423.75281381607, scover line is 81525
turn is 325, now time is 16451.14998483658, scover line is 81525
turn is 326, now time is 16477.132403850555, scover line is 82655
turn is 327, now time is 16503.933470010757, scover line is 82740
turn is 328, now time is 16530.89656186104, scover line is 82740
turn is 329, now time is 16557.59758591652, scover line is 82740
turn is 330, now time is 16754.901223897934, scover line is 82740
turn is 331, now time is 16781.7672829628, scover line is 82740
turn is 332, now time is 16848.238565921783, scover line is 82740
turn is 333, now time is 16992.911207914352, scover line is 82740
turn is 334, now time is 17020.3519217968, scover line is 82740
turn is 335, now time is 17046.90729188919, scover line is 82740
turn is 336, now time is 17172.589637994766, scover line is 82740
turn is 337, now time is 17199.37703180313, scover line is 82740
turn is 338, now time is 17233.505458831787, scover line is 82740
turn is 339, now time is 17269.05093884468, scover line is 82740
turn is 340, now time is 17304.195101976395, scover line is 82918
turn is 341, now time is 17370.252683877945, scover line is 82918
