turn is 232, now time is 16557.590799093246, scover line is 67666
turn is 233, now time is 16580.832736968994, scover line is 67666
turn is 234, now time is 16830.742347955704, scover line is 67666
turn is 235, now time is 17001.191709041595, scover line is 67666
turn is 236, now time is 17024.53719806671, scover line is 67666
turn is 237, now time is 17126.054660081863, scover line is 67666
turn is 238, now time is 17149.110898971558, scover line is 67666
turn is 239, now time is 17172.412260055542, scover line is 67667
turn is 240, now time is 17195.75359106064, scover line is 67667
turn is 241, now time is 17396.994378089905, scover line is 67667
turn is 242, now time is 17423.74924302101, scover line is 67667
turn is 243, now time is 17446.805362939835, scover line is 67668
turn is 244, now time is 17469.96979689598, scover line is 67668
turn is 245, now time is 17492.95244908333, scover line is 67668
turn is 246, now time is 17594.570868968964, scover line is 67668
turn is 247, now time is 17617.99058008194, scover line is 67668
turn is 248, now time is 17641.247407913208, scover line is 67668
turn is 249, now time is 17821.9397149086, scover line is 67668
turn is 250, now time is 17845.21329808235, scover line is 67668
turn is 251, now time is 17868.720468997955, scover line is 67668
turn is 252, now time is 18059.67674589157, scover line is 67668
turn is 253, now time is 18082.674509048462, scover line is 67668
turn is 254, now time is 18106.124317884445, scover line is 67668
turn is 255, now time is 18132.94694495201, scover line is 67692
turn is 256, now time is 18156.58582997322, scover line is 67692
turn is 257, now time is 18179.982376098633, scover line is 67692
turn is 258, now time is 18201.65448307991, scover line is 67692
turn is 259, now time is 18225.00038790703, scover line is 67692
turn is 260, now time is 18297.19574904442, scover line is 67692
turn is 261, now time is 18327.927301883698, scover line is 67692
turn is 262, now time is 18354.796674013138, scover line is 67692
turn is 263, now time is 18512.161196947098, scover line is 67692
turn is 264, now time is 18542.745626926422, scover line is 67692
turn is 265, now time is 18566.211674928665, scover line is 67692
turn is 266, now time is 18589.212480068207, scover line is 67692
turn is 267, now time is 18616.192368984222, scover line is 67692
turn is 268, now time is 18639.19535303116, scover line is 67692
turn is 269, now time is 18812.43670606613, scover line is 67694
turn is 270, now time is 18835.28160405159, scover line is 67694
turn is 271, now time is 19016.07452106476, scover line is 67694
turn is 272, now time is 19039.398382902145, scover line is 67694
turn is 273, now time is 19066.306293964386, scover line is 67694
turn is 274, now time is 19267.0995759964, scover line is 67694
turn is 275, now time is 19299.385732889175, scover line is 67694
turn is 276, now time is 19499.968841075897, scover line is 67694
turn is 277, now time is 19522.77283191681, scover line is 67694
turn is 278, now time is 19573.417659044266, scover line is 67694
turn is 279, now time is 19713.44100189209, scover line is 67694
turn is 280, now time is 19736.037386894226, scover line is 67701
turn is 281, now time is 19759.355751037598, scover line is 67701
turn is 282, now time is 19831.681402921677, scover line is 67701
turn is 283, now time is 20012.8592979908, scover line is 67701
turn is 284, now time is 20036.01668691635, scover line is 67701
turn is 285, now time is 20062.80819606781, scover line is 67729
turn is 286, now time is 20154.382348060608, scover line is 67729
turn is 287, now time is 20325.303833961487, scover line is 67731
turn is 288, now time is 20387.983829975128, scover line is 67780
turn is 289, now time is 20411.581863880157, scover line is 67783
turn is 290, now time is 20612.893311023712, scover line is 67783
turn is 291, now time is 20724.886935949326, scover line is 68330
turn is 292, now time is 20748.607181072235, scover line is 68330
turn is 293, now time is 20772.341183900833, scover line is 68939
turn is 294, now time is 20963.568156957626, scover line is 68939
turn is 295, now time is 20986.95229291916, scover line is 68939
turn is 296, now time is 21010.026876926422, scover line is 68939
turn is 297, now time is 21033.716471910477, scover line is 68939
turn is 298, now time is 21056.960427045822, scover line is 68939
turn is 299, now time is 21078.91954088211, scover line is 68939
turn is 300, now time is 21102.170523881912, scover line is 68939
turn is 301, now time is 21125.450453042984, scover line is 68939
turn is 302, now time is 21148.758852005005, scover line is 68939
turn is 303, now time is 21181.5622279644, scover line is 69011
turn is 304, now time is 21202.439054965973, scover line is 69011
turn is 305, now time is 21229.398310899734, scover line is 69029
turn is 306, now time is 21321.102734088898, scover line is 69029
turn is 307, now time is 21344.378968954086, scover line is 69029
turn is 308, now time is 21367.469369888306, scover line is 69029
turn is 309, now time is 21588.7510368824, scover line is 69029
turn is 310, now time is 21611.624670028687, scover line is 69029
turn is 311, now time is 21644.404270887375, scover line is 69029
turn is 312, now time is 21845.452470064163, scover line is 69029
turn is 313, now time is 21868.931788921356, scover line is 69029
turn is 314, now time is 21990.178775072098, scover line is 69029
turn is 315, now time is 22013.501580953598, scover line is 69029
turn is 316, now time is 22036.91152691841, scover line is 69029
turn is 317, now time is 22060.327152967453, scover line is 69029
turn is 318, now time is 22083.655262947083, scover line is 69029
turn is 319, now time is 22115.399662971497, scover line is 69029
turn is 320, now time is 22217.037414073944, scover line is 69029
turn is 321, now time is 22408.291604995728, scover line is 69029
turn is 322, now time is 22589.325809001923, scover line is 69029
turn is 323, now time is 22610.53235387802, scover line is 69029
turn is 324, now time is 22776.468409061432, scover line is 69029
turn is 325, now time is 22800.428068876266, scover line is 69029
turn is 326, now time is 22824.547341108322, scover line is 69029
turn is 327, now time is 23036.23644900322, scover line is 69029
turn is 328, now time is 23059.602104902267, scover line is 69031
turn is 329, now time is 23182.47968006134, scover line is 69031
turn is 330, now time is 23206.21635890007, scover line is 69032
turn is 331, now time is 23259.348124980927, scover line is 69032
turn is 332, now time is 23283.009876966476, scover line is 69032
turn is 333, now time is 23306.59919309616, scover line is 69032
turn is 334, now time is 23497.8145339489, scover line is 69032
turn is 335, now time is 23521.151261091232, scover line is 69102
turn is 336, now time is 23722.89558005333, scover line is 69102
turn is 337, now time is 23746.27045607567, scover line is 69102
turn is 338, now time is 23917.25961303711, scover line is 69102
turn is 339, now time is 23940.449763059616, scover line is 69390
turn is 340, now time is 24012.649978876114, scover line is 69390
turn is 341, now time is 24035.856080055237, scover line is 69394
turn is 342, now time is 24059.351806879044, scover line is 69394
turn is 343, now time is 24277.471102952957, scover line is 69394
turn is 344, now time is 24458.30749487877, scover line is 69394
turn is 345, now time is 24550.286771059036, scover line is 69394
turn is 346, now time is 24642.058270931244, scover line is 69394
turn is 347, now time is 24823.295715093613, scover line is 69394
turn is 348, now time is 24846.71865797043, scover line is 69395
turn is 349, now time is 25117.533946037292, scover line is 69399
turn is 350, now time is 25140.76904797554, scover line is 69399
turn is 351, now time is 25163.863221883774, scover line is 69399
turn is 352, now time is 25187.008285999298, scover line is 69464
turn is 353, now time is 25210.191886901855, scover line is 69465
turn is 354, now time is 25390.84224009514, scover line is 69465
turn is 355, now time is 25412.917206048965, scover line is 69469
