turn is 0, cover line is 1
turn is 603, cover line is 11194
turn is 604, cover line is 11194
turn is 605, cover line is 11194
turn is 606, cover line is 11194
turn is 607, cover line is 11194
turn is 608, cover line is 11194
turn is 609, cover line is 11194
turn is 610, cover line is 11194
turn is 611, cover line is 11194
turn is 612, cover line is 11194
turn is 613, cover line is 11194
turn is 614, cover line is 11194
turn is 615, cover line is 11194
turn is 616, cover line is 11194
turn is 617, cover line is 11194
turn is 618, cover line is 11194
turn is 619, cover line is 11194
turn is 620, cover line is 11194
turn is 621, cover line is 11194
turn is 622, cover line is 11194
turn is 623, cover line is 11194
turn is 624, cover line is 11194
turn is 625, cover line is 11194
turn is 626, cover line is 11194
turn is 627, cover line is 11194
turn is 628, cover line is 11194
turn is 629, cover line is 11194
turn is 630, cover line is 11194
turn is 631, cover line is 11194
turn is 632, cover line is 11194
turn is 633, cover line is 11194
turn is 634, cover line is 11194
turn is 635, cover line is 11194
turn is 636, cover line is 11194
turn is 637, cover line is 11194
turn is 638, cover line is 11194
turn is 639, cover line is 11194
turn is 640, cover line is 11194
turn is 641, cover line is 11194
turn is 642, cover line is 11194
turn is 643, cover line is 11194
turn is 644, cover line is 11194
turn is 645, cover line is 11194
turn is 646, cover line is 11194
turn is 647, cover line is 11194
turn is 648, cover line is 11194
turn is 649, cover line is 11194
turn is 650, cover line is 11194
turn is 651, cover line is 11194
turn is 652, cover line is 11194
turn is 653, cover line is 11194
turn is 654, cover line is 11194
turn is 655, cover line is 11194
turn is 656, cover line is 11194
turn is 657, cover line is 11194
turn is 658, cover line is 11194
turn is 659, cover line is 11194
turn is 660, cover line is 11194
turn is 661, cover line is 11194
turn is 662, cover line is 11194
turn is 663, cover line is 11194
turn is 664, cover line is 11194
turn is 665, cover line is 11194
turn is 666, cover line is 11194
turn is 667, cover line is 11194
turn is 668, cover line is 11194
turn is 669, cover line is 11194
turn is 670, cover line is 11194
turn is 671, cover line is 11194
turn is 672, cover line is 11194
turn is 673, cover line is 11194
turn is 674, cover line is 11194
turn is 675, cover line is 11194
turn is 676, cover line is 11194
turn is 677, cover line is 11194
turn is 678, cover line is 11194
turn is 679, cover line is 11194
turn is 680, cover line is 11194
turn is 681, cover line is 11194
turn is 682, cover line is 11194
turn is 683, cover line is 11194
turn is 684, cover line is 11194
turn is 685, cover line is 11194
